 i and j  , i , j , nam , sk
 iandj , 14 , 232 , train_pos , MI
 iandj , 42 , 222 , train_pos , MI
 iandj , 12 , 46 , train_pos , MI
 iandj , 12 , 210 , train_pos , MI
 iandj , 223 , 1371 , train_pos , MI
 iandj , 0 , 134 , train_pos , MI
 iandj , 33 , 855 , train_pos , MI
 iandj , 11 , 84 , train_pos , MI
 iandj , 4 , 220 , train_pos , MI
 iandj , 10 , 326 , train_pos , MI
 iandj , 14 , 222 , train_pos , MI
 iandj , 11 , 21 , train_pos , MI
 iandj , 10 , 195 , train_pos , MI
 iandj , 8 , 234 , train_pos , MI
 iandj , 10 , 120 , train_pos , MI
 iandj , 273 , 855 , train_pos , MI
 iandj , 12 , 14 , train_pos , MI
 iandj , 14 , 28 , train_pos , MI
 iandj , 10 , 272 , train_pos , MI
 iandj , 14 , 228 , train_pos , MI
 iandj , 12 , 167 , train_pos , MI
 iandj , 4 , 126 , train_pos , MI
 iandj , 14 , 302 , train_pos , MI
 iandj , 4 , 84 , train_pos , MI
 iandj , 40 , 364 , train_pos , MI
 iandj , 14 , 49 , train_pos , MI
 iandj , 12 , 315 , train_pos , MI
 iandj , 13 , 219 , train_pos , MI
 iandj , 14 , 234 , train_pos , MI
 iandj , 109 , 269 , train_pos , MI
 iandj , 10 , 211 , train_pos , MI
 iandj , 75 , 1366 , train_pos , MI
 iandj , 323 , 1305 , train_pos , MI
 iandj , 14 , 64 , train_pos , MI
 iandj , 94 , 516 , train_pos , MI
 iandj , 14 , 278 , train_pos , MI
 iandj , 10 , 230 , train_pos , MI
 iandj , 13 , 278 , train_pos , MI
 iandj , 13 , 125 , train_pos , MI
 iandj , 8 , 13 , train_pos , MI
 iandj , 8 , 332 , train_pos , MI
 iandj , 14 , 59 , train_pos , MI
 iandj , 64 , 1207 , train_pos , MI
 iandj , 11 , 151 , train_pos , MI
 iandj , 301 , 1336 , train_pos , MI
 iandj , 213 , 1203 , train_pos , MI
 iandj , 222 , 1131 , train_pos , MI
 iandj , 69 , 272 , train_pos , MI
 iandj , 13 , 254 , train_pos , MI
 iandj , 12 , 138 , train_pos , MI
 iandj , 49 , 354 , train_pos , MI
 iandj , 11 , 125 , train_pos , MI
 iandj , 323 , 481 , train_pos , MI
 iandj , 16 , 125 , train_pos , MI
 iandj , 33 , 249 , train_pos , MI
 iandj , 75 , 294 , train_pos , MI
 iandj , 8 , 230 , train_pos , MI
 iandj , 4 , 234 , train_pos , MI
 iandj , 218 , 961 , train_pos , MI
 iandj , 16 , 18 , train_pos , MI
 iandj , 0 , 8 , train_pos , MI
 iandj , 13 , 96 , train_pos , MI
 iandj , 100 , 1220 , train_pos , MI
 iandj , 70 , 1093 , train_pos , MI
 iandj , 70 , 640 , train_pos , MI
 iandj , 120 , 930 , train_pos , MI
 iandj , 8 , 256 , train_pos , MI
 iandj , 13 , 18 , train_pos , MI
 iandj , 111 , 494 , train_pos , MI
 iandj , 16 , 290 , train_pos , MI
 iandj , 10 , 97 , train_pos , MI
 iandj , 16 , 69 , train_pos , MI
 iandj , 0 , 137 , train_pos , MI
 iandj , 170 , 312 , train_pos , MI
 iandj , 11 , 257 , train_pos , MI
 iandj , 103 , 494 , train_pos , MI
 iandj , 167 , 1052 , train_pos , MI
 iandj , 19 , 75 , train_pos , MI
 iandj , 272 , 390 , train_pos , MI
 iandj , 75 , 1273 , train_pos , MI
 iandj , 10 , 13 , train_pos , MI
 iandj , 16 , 318 , train_pos , MI
 iandj , 14 , 65 , train_pos , MI
 iandj , 16 , 96 , train_pos , MI
 iandj , 12 , 125 , train_pos , MI
 iandj , 170 , 498 , train_pos , MI
 iandj , 40 , 75 , train_pos , MI
 iandj , 4 , 142 , train_pos , MI
 iandj , 97 , 260 , train_pos , MI
 iandj , 75 , 1229 , train_pos , MI
 iandj , 0 , 257 , train_pos , MI
 iandj , 14 , 269 , train_pos , MI
 iandj , 21 , 1220 , train_pos , MI
 iandj , 97 , 930 , train_pos , MI
 iandj , 14 , 299 , train_pos , MI
 iandj , 75 , 1370 , train_pos , MI
 iandj , 13 , 300 , train_pos , MI
 iandj , 8 , 49 , train_pos , MI
 iandj , 256 , 503 , train_pos , MI
 iandj , 8 , 222 , train_pos , MI
 iandj , 11 , 213 , train_pos , MI
 iandj , 137 , 965 , train_pos , MI
 iandj , 111 , 120 , train_pos , MI
 iandj , 16 , 61 , train_pos , MI
 iandj , 211 , 278 , train_pos , MI
 iandj , 16 , 223 , train_pos , MI
 iandj , 10 , 96 , train_pos , MI
 iandj , 210 , 1237 , train_pos , MI
 iandj , 16 , 24 , train_pos , MI
 iandj , 0 , 219 , train_pos , MI
 iandj , 10 , 49 , train_pos , MI
 iandj , 86 , 303 , train_pos , MI
 iandj , 171 , 903 , train_pos , MI
 iandj , 11 , 222 , train_pos , MI
 iandj , 11 , 328 , train_pos , MI
 iandj , 210 , 540 , train_pos , MI
 iandj , 86 , 106 , train_pos , MI
 iandj , 13 , 175 , train_pos , MI
 iandj , 0 , 49 , train_pos , MI
 iandj , 16 , 75 , train_pos , MI
 iandj , 40 , 611 , train_pos , MI
 iandj , 20 , 44 , train_pos , MI
 iandj , 4 , 109 , train_pos , MI
 iandj , 11 , 94 , train_pos , MI
 iandj , 106 , 272 , train_pos , MI
 iandj , 0 , 121 , train_pos , MI
 iandj , 14 , 157 , train_pos , MI
 iandj , 110 , 1297 , train_pos , MI
 iandj , 99 , 116 , train_pos , MI
 iandj , 108 , 336 , train_pos , MI
 iandj , 21 , 1038 , train_pos , MI
 iandj , 0 , 254 , train_pos , MI
 iandj , 0 , 24 , train_pos , MI
 iandj , 120 , 995 , train_pos , MI
 iandj , 96 , 462 , train_pos , MI
 iandj , 186 , 220 , train_pos , MI
 iandj , 13 , 120 , train_pos , MI
 iandj , 20 , 211 , train_pos , MI
 iandj , 44 , 1220 , train_pos , MI
 iandj , 0 , 101 , train_pos , MI
 iandj , 14 , 120 , train_pos , MI
 iandj , 159 , 943 , train_pos , MI
 iandj , 40 , 61 , train_pos , MI
 iandj , 11 , 253 , train_pos , MI
 iandj , 12 , 33 , train_pos , MI
 iandj , 0 , 13 , train_pos , MI
 iandj , 12 , 85 , train_pos , MI
 iandj , 13 , 284 , train_pos , MI
 iandj , 40 , 144 , train_pos , MI
 iandj , 151 , 239 , train_pos , MI
 iandj , 85 , 152 , train_pos , MI
 iandj , 12 , 135 , train_pos , MI
 iandj , 12 , 228 , train_pos , MI
 iandj , 159 , 375 , train_pos , MI
 iandj , 4 , 228 , train_pos , MI
 iandj , 73 , 97 , train_pos , MI
 iandj , 12 , 256 , train_pos , MI
 iandj , 14 , 300 , train_pos , MI
 iandj , 70 , 848 , train_pos , MI
 iandj , 13 , 137 , train_pos , MI
 iandj , 13 , 273 , train_pos , MI
 iandj , 315 , 1372 , train_pos , MI
 iandj , 75 , 1015 , train_pos , MI
 iandj , 40 , 827 , train_pos , MI
 iandj , 11 , 299 , train_pos , MI
 iandj , 8 , 255 , train_pos , MI
 iandj , 12 , 137 , train_pos , MI
 iandj , 11 , 157 , train_pos , MI
 iandj , 11 , 223 , train_pos , MI
 iandj , 0 , 10 , train_pos , MI
 iandj , 12 , 109 , train_pos , MI
 iandj , 86 , 734 , train_pos , MI
 iandj , 14 , 60 , train_pos , MI
 iandj , 12 , 108 , train_pos , MI
 iandj , 4 , 226 , train_pos , MI
 iandj , 19 , 272 , train_pos , MI
 iandj , 318 , 904 , train_pos , MI
 iandj , 13 , 230 , train_pos , MI
 iandj , 11 , 14 , train_pos , MI
 iandj , 86 , 558 , train_pos , MI
 iandj , 4 , 94 , train_pos , MI
 iandj , 0 , 246 , train_pos , MI
 iandj , 137 , 329 , train_pos , MI
 iandj , 0 , 167 , train_pos , MI
 iandj , 223 , 331 , train_pos , MI
 iandj , 75 , 366 , train_pos , MI
 iandj , 12 , 198 , train_pos , MI
 iandj , 137 , 977 , train_pos , MI
 iandj , 40 , 1334 , train_pos , MI
 iandj , 223 , 1273 , train_pos , MI
 iandj , 110 , 112 , train_pos , MI
 iandj , 0 , 301 , train_pos , MI
 iandj , 14 , 142 , train_pos , MI
 iandj , 170 , 824 , train_pos , MI
 iandj , 8 , 101 , train_pos , MI
 iandj , 103 , 239 , train_pos , MI
 iandj , 10 , 323 , train_pos , MI
 iandj , 8 , 146 , train_pos , MI
 iandj , 272 , 503 , train_pos , MI
 iandj , 4 , 125 , train_pos , MI
 iandj , 13 , 220 , train_pos , MI
 iandj , 137 , 603 , train_pos , MI
 iandj , 246 , 889 , train_pos , MI
 iandj , 49 , 1226 , train_pos , MI
 iandj , 323 , 468 , train_pos , MI
 iandj , 116 , 436 , train_pos , MI
 iandj , 21 , 143 , train_pos , MI
 iandj , 218 , 420 , train_pos , MI
 iandj , 137 , 318 , train_pos , MI
 iandj , 211 , 420 , train_pos , MI
 iandj , 14 , 503 , train_pos , MI
 iandj , 221 , 252 , train_pos , MI
 iandj , 111 , 940 , train_pos , MI
 iandj , 0 , 123 , train_pos , MI
 iandj , 111 , 1357 , train_pos , MI
 iandj , 86 , 824 , train_pos , MI
 iandj , 108 , 954 , train_pos , MI
 iandj , 4 , 85 , train_pos , MI
 iandj , 115 , 257 , train_pos , MI
 iandj , 221 , 226 , train_pos , MI
 iandj , 16 , 297 , train_pos , MI
 iandj , 4 , 291 , train_pos , MI
 iandj , 0 , 999 , train_pos , MI
 iandj , 67 , 432 , train_pos , MI
 iandj , 213 , 460 , train_pos , MI
 iandj , 4 , 86 , train_pos , MI
 iandj , 8 , 328 , train_pos , MI
 iandj , 101 , 670 , train_pos , MI
 iandj , 159 , 564 , train_pos , MI
 iandj , 11 , 100 , train_pos , MI
 iandj , 226 , 1093 , train_pos , MI
 iandj , 16 , 230 , train_pos , MI
 iandj , 297 , 1298 , train_pos , MI
 iandj , 13 , 195 , train_pos , MI
 iandj , 14 , 326 , train_pos , MI
 iandj , 10 , 109 , train_pos , MI
 iandj , 60 , 802 , train_pos , MI
 iandj , 4 , 256 , train_pos , MI
 iandj , 8 , 299 , train_pos , MI
 iandj , 221 , 1228 , train_pos , MI
 iandj , 8 , 142 , train_pos , MI
 iandj , 67 , 87 , train_pos , MI
 iandj , 0 , 100 , train_pos , MI
 iandj , 159 , 1041 , train_pos , MI
 iandj , 75 , 1346 , train_pos , MI
 iandj , 146 , 436 , train_pos , MI
 iandj , 0 , 136 , train_pos , MI
 iandj , 8 , 220 , train_pos , MI
 iandj , 137 , 573 , train_pos , MI
 iandj , 75 , 622 , train_pos , MI
 iandj , 10 , 60 , train_pos , MI
 iandj , 115 , 142 , train_pos , MI
 iandj , 222 , 640 , train_pos , MI
 iandj , 14 , 135 , train_pos , MI
 iandj , 12 , 278 , train_pos , MI
 iandj , 12 , 332 , train_pos , MI
 iandj , 93 , 622 , train_pos , MI
 iandj , 10 , 220 , train_pos , MI
 iandj , 11 , 111 , train_pos , MI
 iandj , 11 , 13 , train_pos , MI
 iandj , 159 , 182 , train_pos , MI
 iandj , 0 , 152 , train_pos , MI
 iandj , 16 , 218 , train_pos , MI
 iandj , 13 , 326 , train_pos , MI
 iandj , 8 , 137 , train_pos , MI
 iandj , 210 , 302 , train_pos , MI
 iandj , 13 , 202 , train_pos , MI
 iandj , 79 , 159 , train_pos , MI
 iandj , 54 , 273 , train_pos , MI
 iandj , 103 , 1093 , train_pos , MI
 iandj , 16 , 254 , train_pos , MI
 iandj , 11 , 57 , train_pos , MI
 iandj , 10 , 301 , train_pos , MI
 iandj , 89 , 318 , train_pos , MI
 iandj , 13 , 146 , train_pos , MI
 iandj , 40 , 233 , train_pos , MI
 iandj , 8 , 287 , train_pos , MI
 iandj , 16 , 295 , train_pos , MI
 iandj , 272 , 1140 , train_pos , MI
 iandj , 36 , 44 , train_pos , MI
 iandj , 18 , 665 , train_pos , MI
 iandj , 14 , 93 , train_pos , MI
 iandj , 8 , 219 , train_pos , MI
 iandj , 4 , 204 , train_pos , MI
 iandj , 255 , 373 , train_pos , MI
 iandj , 110 , 197 , train_pos , MI
 iandj , 10 , 146 , train_pos , MI
 iandj , 0 , 157 , train_pos , MI
 iandj , 0 , 4 , train_pos , MI
 iandj , 111 , 247 , train_pos , MI
 iandj , 11 , 61 , train_pos , MI
 iandj , 10 , 70 , train_pos , MI
 iandj , 65 , 70 , train_pos , MI
 iandj , 8 , 121 , train_pos , MI
 iandj , 12 , 216 , train_pos , MI
 iandj , 10 , 137 , train_pos , MI
 iandj , 14 , 69 , train_pos , MI
 iandj , 44 , 86 , train_pos , MI
 iandj , 297 , 1102 , train_pos , MI
 iandj , 75 , 1138 , train_pos , MI
 iandj , 97 , 861 , train_pos , MI
 iandj , 151 , 1162 , train_pos , MI
 iandj , 70 , 1007 , train_pos , MI
 iandj , 170 , 1098 , train_pos , MI
 iandj , 110 , 1254 , train_pos , MI
 iandj , 197 , 257 , train_pos , MI
 iandj , 13 , 140 , train_pos , MI
 iandj , 18 , 75 , train_pos , MI
 iandj , 108 , 1028 , train_pos , MI
 iandj , 302 , 922 , train_pos , MI
 iandj , 108 , 720 , train_pos , MI
 iandj , 116 , 551 , train_pos , MI
 iandj , 14 , 85 , train_pos , MI
 iandj , 13 , 332 , train_pos , MI
 iandj , 10 , 202 , train_pos , MI
 iandj , 151 , 269 , train_pos , MI
 iandj , 10 , 121 , train_pos , MI
 iandj , 65 , 414 , train_pos , MI
 iandj , 0 , 294 , train_pos , MI
 iandj , 14 , 318 , train_pos , MI
 iandj , 4 , 18 , train_pos , MI
 iandj , 120 , 1052 , train_pos , MI
 iandj , 21 , 47 , train_pos , MI
 iandj , 103 , 513 , train_pos , MI
 iandj , 70 , 212 , train_pos , MI
 iandj , 61 , 1032 , train_pos , MI
 iandj , 11 , 220 , train_pos , MI
 iandj , 16 , 156 , train_pos , MI
 iandj , 101 , 345 , train_pos , MI
 iandj , 100 , 260 , train_pos , MI
 iandj , 4 , 300 , train_pos , MI
 iandj , 171 , 1000 , train_pos , MI
 iandj , 12 , 302 , train_pos , MI
 iandj , 8 , 116 , train_pos , MI
 iandj , 10 , 118 , train_pos , MI
 iandj , 40 , 297 , train_pos , MI
 iandj , 11 , 69 , train_pos , MI
 iandj , 12 , 318 , train_pos , MI
 iandj , 14 , 328 , train_pos , MI
 iandj , 170 , 840 , train_pos , MI
 iandj , 8 , 33 , train_pos , MI
 iandj , 16 , 228 , train_pos , MI
 iandj , 14 , 288 , train_pos , MI
 iandj , 120 , 1046 , train_pos , MI
 iandj , 13 , 170 , train_pos , MI
 iandj , 10 , 956 , train_pos , MI
 iandj , 0 , 86 , train_pos , MI
 iandj , 86 , 477 , train_pos , MI
 iandj , 8 , 296 , train_pos , MI
 iandj , 94 , 1050 , train_pos , MI
 iandj , 12 , 328 , train_pos , MI
 iandj , 103 , 1266 , train_pos , MI
 iandj , 272 , 1272 , train_pos , MI
 iandj , 4 , 10 , train_pos , MI
 iandj , 142 , 247 , train_pos , MI
 iandj , 11 , 216 , train_pos , MI
 iandj , 108 , 415 , train_pos , MI
 iandj , 4 , 103 , train_pos , MI
 iandj , 110 , 265 , train_pos , MI
 iandj , 111 , 839 , train_pos , MI
 iandj , 222 , 1365 , train_pos , MI
 iandj , 211 , 1050 , train_pos , MI
 iandj , 8 , 228 , train_pos , MI
 iandj , 12 , 16 , train_pos , MI
 iandj , 8 , 46 , train_pos , MI
 iandj , 14 , 916 , train_pos , MI
 iandj , 223 , 1138 , train_pos , MI
 iandj , 8 , 143 , train_pos , MI
 iandj , 60 , 852 , train_pos , MI
 iandj , 14 , 100 , train_pos , MI
 iandj , 93 , 733 , train_pos , MI
 iandj , 136 , 962 , train_pos , MI
 iandj , 12 , 101 , train_pos , MI
 iandj , 75 , 436 , train_pos , MI
 iandj , 0 , 11 , train_pos , MI
 iandj , 142 , 700 , train_pos , MI
 iandj , 138 , 1084 , train_pos , MI
 iandj , 11 , 60 , train_pos , MI
 iandj , 44 , 1379 , train_pos , MI
 iandj , 46 , 956 , train_pos , MI
 iandj , 111 , 1093 , train_pos , MI
 iandj , 13 , 288 , train_pos , MI
 iandj , 75 , 841 , train_pos , MI
 iandj , 14 , 97 , train_pos , MI
 iandj , 4 , 97 , train_pos , MI
 iandj , 11 , 288 , train_pos , MI
 iandj , 4 , 254 , train_pos , MI
 iandj , 302 , 580 , train_pos , MI
 iandj , 16 , 275 , train_pos , MI
 iandj , 16 , 222 , train_pos , MI
 iandj , 96 , 152 , train_pos , MI
 iandj , 0 , 278 , train_pos , MI
 iandj , 86 , 112 , train_pos , MI
 iandj , 4 , 65 , train_pos , MI
 iandj , 103 , 295 , train_pos , MI
 iandj , 14 , 112 , train_pos , MI
 iandj , 0 , 232 , train_pos , MI
 iandj , 12 , 86 , train_pos , MI
 iandj , 4 , 21 , train_pos , MI
 iandj , 151 , 1328 , train_pos , MI
 iandj , 21 , 390 , train_pos , MI
 iandj , 112 , 253 , train_pos , MI
 iandj , 13 , 135 , train_pos , MI
 iandj , 100 , 182 , train_pos , MI
 iandj , 170 , 500 , train_pos , MI
 iandj , 0 , 1124 , train_pos , MI
 iandj , 94 , 1207 , train_pos , MI
 iandj , 273 , 629 , train_pos , MI
 iandj , 12 , 221 , train_pos , MI
 iandj , 157 , 1104 , train_pos , MI
 iandj , 60 , 1228 , train_pos , MI
 iandj , 111 , 239 , train_pos , MI
 iandj , 44 , 956 , train_pos , MI
 iandj , 14 , 33 , train_pos , MI
 iandj , 16 , 256 , train_pos , MI
 iandj , 11 , 137 , train_pos , MI
 iandj , 75 , 149 , train_pos , MI
 iandj , 318 , 885 , train_pos , MI
 iandj , 13 , 16 , train_pos , MI
